iter	Passed	Remaining
754	3925	22070
755	3930	22064
756	3935	22058
757	3940	22051
758	3945	22045
759	3950	22039
760	3955	22033
761	3960	22027
762	3965	22022
763	3970	22016
764	3975	22010
765	3980	22003
766	3985	21996
767	3990	21989
768	3995	21984
769	4000	21977
770	4005	21971
771	4010	21965
772	4015	21959
773	4021	21955
774	4026	21948
775	4031	21942
776	4036	21940
777	4042	21936
778	4047	21933
779	4053	21928
780	4058	21921
781	4063	21918
782	4069	21915
783	4074	21909
784	4079	21904
785	4084	21898
786	4089	21891
787	4094	21886
788	4099	21880
789	4104	21873
790	4109	21866
791	4114	21860
792	4119	21853
793	4124	21847
794	4129	21844
795	4135	21838
796	4140	21832
797	4145	21827
798	4150	21822
799	4155	21815
800	4161	21812
801	4166	21810
802	4171	21804
803	4176	21799
804	4181	21793
805	4186	21786
806	4192	21781
807	4197	21775
808	4202	21768
809	4207	21764
810	4212	21757
811	4217	21751
812	4223	21749
813	4229	21748
814	4235	21746
815	4240	21745
816	4246	21742
817	4252	21738
818	4257	21735
819	4263	21731
820	4268	21725
821	4273	21722
822	4279	21720
823	4284	21714
824	4290	21712
825	4295	21708
826	4300	21702
827	4306	21700
828	4312	21696
829	4317	21690
830	4323	21688
831	4328	21684
832	4333	21680
833	4339	21677
834	4345	21673
835	4350	21667
836	4356	21665
837	4361	21660
838	4366	21654
839	4372	21652
840	4378	21650
841	4383	21644
842	4389	21643
843	4394	21638
844	4399	21634
845	4405	21633
846	4411	21628
847	4416	21623
848	4421	21620
849	4427	21615
850	4432	21611
851	4439	21613
852	4444	21608
853	4450	21604
854	4455	21600
855	4461	21597
856	4466	21594
857	4472	21592
858	4477	21586
859	4483	21582
860	4488	21578
861	4493	21572
862	4499	21570
863	4505	21567
864	4510	21562
865	4516	21560
866	4521	21555
867	4526	21549
868	4532	21547
869	4537	21542
870	4543	21537
871	4548	21533
872	4553	21528
873	4558	21521
874	4564	21516
875	4569	21510
876	4574	21505
877	4579	21499
878	4584	21494
879	4589	21488
880	4595	21484
881	4600	21478
882	4605	21472
883	4610	21467
884	4615	21461
885	4620	21455
886	4626	21450
887	4631	21445
888	4636	21440
889	4641	21435
890	4646	21430
891	4652	21426
892	4657	21421
893	4663	21418
894	4668	21414
895	4673	21407
896	4679	21403
897	4684	21396
898	4689	21390
899	4694	21384
900	4699	21379
901	4704	21374
902	4710	21370
903	4715	21364
904	4720	21358
905	4725	21352
906	4730	21346
907	4735	21341
908	4740	21335
909	4746	21331
910	4751	21326
911	4756	21321
912	4761	21316
913	4766	21310
914	4772	21305
915	4777	21299
916	4782	21293
917	4787	21289
918	4792	21284
919	4798	21278
920	4803	21273
921	4808	21267
922	4813	21263
923	4819	21258
924	4824	21254
925	4829	21249
926	4835	21247
927	4841	21244
928	4846	21239
929	4852	21234
930	4857	21230
931	4863	21226
932	4868	21223
933	4874	21219
934	4879	21213
935	4884	21209
936	4889	21203
937	4894	21196
938	4899	21191
939	4904	21185
940	4909	21179
941	4914	21172
942	4920	21167
943	4925	21161
944	4930	21156
945	4935	21150
946	4940	21145
947	4945	21139
948	4950	21133
949	4955	21127
950	4960	21121
951	4965	21114
952	4970	21108
953	4975	21103
954	4981	21098
955	4985	21091
956	4991	21085
957	4996	21079
958	5001	21073
959	5005	21066
960	5011	21060
961	5016	21054
962	5021	21049
963	5026	21043
964	5031	21037
965	5036	21032
966	5042	21028
967	5047	21025
968	5052	21020
969	5057	21013
970	5063	21008
971	5068	21002
972	5073	20996
973	5078	20991
974	5083	20986
975	5088	20980
976	5093	20974
977	5098	20968
978	5103	20962
979	5108	20957
980	5114	20953
981	5119	20948
982	5124	20941
983	5130	20937
984	5135	20933
985	5140	20927
986	5146	20924
987	5151	20919
988	5156	20912
989	5161	20908
990	5167	20902
991	5172	20896
992	5177	20893
993	5183	20889
994	5188	20883
995	5194	20880
996	5199	20876
997	5204	20871
998	5210	20866
999	5215	20860
1000	5220	20854
1001	5225	20849
1002	5230	20843
1003	5235	20837
1004	5240	20833
1005	5246	20828
1006	5251	20822
1007	5256	20817
1008	5261	20813
1009	5267	20809
1010	5272	20804
1011	5278	20799
1012	5283	20793
1013	5288	20788
1014	5294	20786
1015	5299	20781
1016	5305	20776
1017	5310	20771
1018	5315	20766
1019	5320	20761
1020	5326	20758
1021	5331	20753
1022	5337	20748
1023	5342	20745
1024	5347	20739
1025	5353	20734
1026	5358	20731
1027	5364	20726
1028	5369	20721
1029	5375	20717
1030	5380	20713
1031	5386	20709
1032	5392	20707
1033	5397	20701
1034	5402	20696
1035	5407	20691
1036	5412	20685
1037	5418	20681
1038	5423	20675
1039	5428	20668
1040	5433	20662
1041	5438	20659
1042	5444	20655
1043	5449	20650
1044	5455	20646
1045	5460	20642
1046	5466	20637
1047	5471	20631
1048	5476	20626
1049	5481	20621
1050	5487	20618
1051	5492	20613
1052	5497	20608
1053	5503	20605
1054	5509	20600
1055	5514	20596
1056	5520	20592
1057	5525	20586
1058	5530	20581
1059	5536	20577
1060	5541	20571
1061	5546	20566
1062	5551	20560
1063	5556	20554
1064	5561	20549
1065	5567	20545
1066	5572	20540
1067	5577	20535
1068	5583	20532
1069	5588	20526
1070	5593	20521
1071	5598	20515
1072	5603	20509
1073	5608	20503
1074	5614	20498
1075	5619	20492
1076	5624	20486
1077	5629	20481
1078	5634	20475
1079	5639	20469
1080	5645	20465
1081	5650	20461
1082	5656	20458
1083	5662	20454
1084	5667	20450
1085	5672	20445
1086	5677	20439
1087	5682	20433
1088	5687	20427
1089	5693	20422
1090	5698	20416
1091	5703	20411
1092	5708	20407
1093	5714	20401
1094	5718	20395
1095	5723	20389
1096	5728	20382
1097	5734	20377
1098	5740	20375
1099	5746	20374
1100	5752	20373
1101	5758	20369
1102	5764	20366
1103	5770	20363
1104	5775	20358
1105	5781	20353
1106	5786	20349
1107	5791	20343
1108	5797	20339
1109	5802	20335
1110	5808	20331
1111	5813	20327
1112	5819	20322
1113	5825	20320
1114	5830	20316
1115	5835	20310
1116	5841	20307
1117	5847	20302
1118	5852	20297
1119	5858	20293
1120	5863	20291
1121	5869	20287
1122	5875	20283
1123	5880	20277
1124	5885	20272
1125	5890	20267
1126	5895	20261
1127	5901	20257
1128	5907	20253
1129	5912	20248
1130	5918	20244
1131	5923	20240
1132	5928	20235
1133	5934	20230
1134	5940	20228
1135	5945	20222
1136	5950	20218
1137	5955	20212
1138	5960	20206
1139	5966	20202
1140	5971	20196
1141	5976	20190
1142	5981	20185
1143	5986	20179
1144	5991	20173
1145	5996	20167
1146	6002	20161
1147	6007	20157
1148	6012	20153
1149	6018	20147
1150	6023	20142
1151	6028	20136
1152	6033	20130
1153	6038	20124
1154	6043	20119
1155	6049	20115
1156	6054	20111
1157	6060	20106
1158	6066	20104
1159	6071	20100
1160	6077	20095
1161	6082	20091
1162	6088	20085
1163	6093	20079
1164	6098	20075
1165	6103	20070
1166	6109	20065
1167	6114	20060
1168	6119	20054
1169	6124	20049
1170	6130	20044
1171	6135	20039
1172	6140	20034
1173	6145	20029
1174	6151	20023
1175	6156	20019
1176	6161	20013
1177	6166	20008
1178	6172	20002
1179	6177	19997
1180	6182	19992
1181	6187	19987
1182	6193	19982
1183	6198	19978
1184	6203	19973
1185	6209	19968
1186	6214	19962
1187	6219	19957
1188	6224	19952
1189	6230	19946
1190	6235	19941
1191	6240	19936
1192	6246	19933
1193	6251	19928
1194	6257	19923
1195	6263	19920
1196	6268	19916
1197	6274	19912
1198	6280	19908
1199	6285	19903
1200	6290	19899
1201	6296	19894
1202	6301	19888
1203	6306	19883
1204	6311	19878
1205	6317	19873
1206	6322	19867
1207	6327	19862
1208	6332	19856
1209	6337	19851
1210	6343	19848
1211	6349	19843
1212	6354	19838
1213	6359	19832
1214	6364	19827
1215	6369	19822
1216	6375	19817
1217	6380	19811
1218	6385	19806
1219	6390	19801
1220	6396	19795
1221	6401	19790
1222	6406	19784
1223	6411	19778
1224	6416	19773
1225	6421	19767
1226	6426	19762
1227	6432	19757
1228	6437	19751
1229	6442	19745
1230	6448	19742
1231	6453	19738
1232	6459	19733
1233	6465	19730
1234	6471	19727
1235	6476	19723
1236	6481	19717
1237	6487	19713
1238	6492	19707
1239	6497	19701
1240	6502	19696
1241	6507	19690
1242	6512	19684
1243	6517	19678
1244	6522	19672
1245	6527	19667
1246	6532	19661
1247	6538	19656
1248	6543	19650
1249	6548	19645
1250	6553	19639
1251	6558	19634
1252	6564	19630
1253	6569	19624
1254	6574	19618
1255	6579	19613
1256	6584	19607
1257	6589	19601
1258	6594	19595
1259	6599	19590
1260	6604	19584
1261	6609	19578
1262	6615	19573
1263	6620	19568
1264	6625	19562
1265	6630	19556
1266	6635	19551
1267	6640	19545
1268	6645	19539
1269	6651	19536
1270	6657	19533
1271	6663	19529
1272	6668	19523
1273	6673	19517
1274	6678	19512
1275	6683	19506
1276	6688	19500
1277	6693	19495
1278	6698	19489
1279	6703	19482
1280	6708	19477
1281	6713	19471
1282	6719	19466
1283	6724	19461
1284	6729	19455
1285	6734	19449
1286	6739	19443
1287	6745	19439
1288	6750	19434
1289	6756	19431
1290	6761	19426
1291	6767	19421
1292	6772	19416
1293	6778	19412
1294	6783	19408
1295	6788	19402
1296	6793	19396
1297	6798	19391
1298	6803	19384
1299	6809	19379
1300	6814	19373
1301	6819	19367
1302	6824	19362
1303	6829	19356
1304	6834	19351
1305	6839	19345
1306	6844	19340
1307	6850	19336
1308	6855	19331
1309	6861	19327
1310	6867	19324
1311	6873	19320
1312	6878	19316
1313	6884	19310
1314	6889	19305
1315	6894	19299
1316	6898	19293
1317	6904	19288
1318	6909	19282
1319	6914	19276
1320	6919	19270
1321	6924	19264
1322	6929	19259
1323	6934	19254
1324	6939	19248
1325	6944	19242
1326	6949	19236
1327	6954	19230
1328	6960	19225
1329	6965	19220
1330	6970	19214
1331	6975	19208
1332	6980	19202
1333	6985	19196
1334	6990	19190
1335	6995	19185
1336	7000	19180
1337	7005	19174
1338	7010	19168
1339	7015	19162
1340	7021	19158
1341	7026	19153
1342	7031	19147
1343	7036	19140
1344	7041	19135
1345	7046	19130
1346	7052	19126
1347	7057	19121
1348	7063	19116
1349	7068	19111
1350	7073	19105
1351	7078	19100
1352	7084	19095
1353	7088	19088
1354	7093	19082
1355	7099	19077
1356	7104	19071
1357	7108	19064
1358	7113	19059
1359	7119	19053
1360	7123	19047
1361	7128	19041
1362	7134	19036
1363	7139	19030
1364	7144	19024
1365	7149	19018
1366	7154	19012
1367	7158	19006
1368	7163	19000
1369	7168	18994
1370	7173	18988
1371	7178	18983
1372	7183	18977
1373	7188	18971
1374	7193	18964
1375	7198	18958
1376	7203	18952
1377	7208	18946
1378	7213	18940
1379	7217	18933
1380	7223	18928
1381	7228	18922
1382	7232	18916
1383	7237	18910
1384	7242	18904
1385	7247	18898
1386	7252	18892
1387	7258	18888
1388	7263	18884
1389	7269	18879
1390	7274	18874
